pedon,horizon,subdivision,top cm,base cm,thick,major_color,hue,value,chroma,minor_color,depletion,concentration,texture_modifier,texture_base,structure,consistence,boundary,frags,roots,sample collected,elemental
52_4_X4.1,D,6,134,144,10,10YR5/3,10YR,5,3,0,,,,s, , , ,, ,Y,Y
52_4_X4.1,D,7,144,155,11,10YR5/2,10YR,5,2,0,,,gr,s, , , ,, ,Y,
52_4_X4.1,D,8,155,160,5,10YR5/2,10YR,5,2,0,,,gr,s, , , ,, ,Y,Y
52_4_X4.1,D,9,160,172,12,2.5Y6/2,2.5Y,6,2,0,,,,lfs, , , ,, ,Y,Y
52_4_X4.1,D,10,172,178,6,2.5Y6/2,2.5Y,6,2,0,,,gr,lfs, , , ,, ,Y,
52_4_X4.1,D,11,184,189,5,2.5Y5/2,2.5Y,5,2,0,,,gr,lfs, , , ,, ,Y,
52_4_X4.1,D,12,190,195,5,2.5Y6/2,2.5Y,6,2,0,,,,fsl, , , ,, ,Y,
52_4_X4.1,D,13,207,217,10,2.5Y6/2,2.5Y,6,2,0,,,gr,fsl, , , ,, ,Y,
52_4_X4.1,D,14,220,230,10,2.5Y5/2,2.5Y,5,2,0,,,,ls, , , ,, ,Y,
52_4_X4.1,D,15,230,262,32,2.5Y6/2,2.5Y,6,2,0,,,,fsl, , , ,, ,Y,
52_4_X4.1,D,16,262,291,29,2.5Y6/2,2.5Y,6,2,0,,,,fsl, , , ,, ,Y,Y
52_4_X4.2,Oi,,0,4,4,5YR2.5/1,5YR,2.5,1,,,,, , , , ,0, ,Y,
52_4_X4.2,Oe,,4,8,4,5YR2.5/1,5YR,2.5,1,,,,, , , , ,0, ,Y,
52_4_X4.2,Oa,,8,16,8,5YR2.5/1,5YR,2.5,1,0,,,, ,1mgr, ,as,0,c,Y,
52_4_X4.2,E,,16,25,9,7.5YR6/1,7.5YR,6,1,7.5YR4/1,,,,ls,2msbk,fr,as,2,f,Y,
52_4_X4.2,Bhs,,25,38,13,7.5YR2.5/1,7.5YR,2.5,1,7.5YR3/2,,,,sl,2msbk,fr,cs,2,f,Y,
52_4_X4.2,Bs,,38,58,20,7.5YR3/3,7.5YR,3,3,0,,,,sl,1msbk,fr,cs,5,f,Y,
52_4_X4.2,Cd,,58,62,4,2.5Y6/3,2.5Y,6,3,0,,,,sl,1msbk,fr, ,8, ,?,
52_4_X4.3,Oi,,0,3,3,5YR2.5/1,5YR,2.5,1,,,,,, , , ,0, ,N,
52_4_X4.3,Oe,,3,5,2,5YR2.5/1,5YR,2.5,1,,,,,, , , ,0, ,N,
52_4_X4.3,Oa,,5,8,3,5YR2.5/1,5YR,2.5,1,0,,,, ,1mgr, ,cs,0,c,N,
52_4_X4.3,Bhs1,,8,12,4,5YR2.5/1,5YR,2.5,1,0,,,,sl,2msbk,fr,cs,0,c,N,
52_4_X4.3,Bhs2,,12,25,13,10YR2/2,10YR,2,2,7.5YR2.5/2,,,,sl,2msbk,fr,cs,2,f,N,
52_4_X4.3,Bhs3,,25,35,10,7.5YR2.5/2,7.5YR,2.5,2,0,,,,sl,1msbk,fr, ,2,f,N,
52_5_X5.1,Oi,,0,3,3,5YR2.5/1,5YR,2.5,1,,,,,, , , ,0, ,Y,
52_5_X5.1,Oe,,3,6,3,5YR2.5/1,5YR,2.5,1,,,,,, , , ,0, ,Y,
52_5_X5.1,Oa,,6,10,4,5YR2.5/1,5YR,2.5,1,0,,,, ,2mgr, ,cs,0,c,Y,
52_5_X5.1,Bhs,,10,18,8,7.5YR2.5/1,7.5YR,2.5,1,0,,,,sl,2msbk,fr,cs,2,f,Y,
52_5_X5.1,Bh,,18,44,26,10YR3/1,10YR,3,1,0,,,,sl,2msbk,fr, ,5,f,Y,
86_1_PFM,O,,,,0,5YR2.5/1,5YR,2.5,1,,,,, , , , ,0, ,N,
86_1_W1.1,O,,0,17.5,17.5,5YR2.5/1,5YR,2.5,1,,,,, , , , ,0, ,N,
86_1_W1.1,R,,17.5,17.5,0,,,,,,,,,,,,,,,Y,
86_2_PFM,Oi,,0,4,4,5YR2.5/1,5YR,2.5,1,,,,, , , , ,0,m,?,
86_2_PFM,Oe,,4,12,8,5YR2.5/1,5YR,2.5,1,,,,, , , , ,0,c,?,
86_2_PFM,Oa,,12,19,7,5YR2.5/1,5YR,2.5,1,,,,, , , , ,0,c,Y,Y
86_2_PFM,E,,19,23,4,10YR4/2,10YR,4,2,,,,,ls,1msbk,fr,as,3,f,Y,Y
86_2_PFM,R,,23,23,0,,,,,,,,, , , , ,0, ,N,
86_2_W2.1,Oi,,0,3,3,5YR2.5/1,5YR,2.5,1,,,,, , , , ,0, ,Y,
86_2_W2.1,Oe,,3,6,3,5YR2.5/1,5YR,2.5,1,,,,, , , , ,0,m,Y,
86_2_W2.1,Oa,,6,14,8,5YR2.5/1,5YR,2.5,1,0,,,, ,1mgr,lo,ai,0,c,Y,
86_2_W2.1,E,,14,29,15,10YR5/1,10YR,5,1,0,,,,sl,2msbk,fr, ,1, ,Y,
86_2_W2.1,R,,29,29,0,,,,,,,,, , , , ,0, ,Y,
86_2_W2.2,Oi,,0,5,5,5YR2.5/1,5YR,2.5,1,,,,,,,,as,0,c,Y,
86_2_W2.2,Oe,,5,11,6,5YR2.5/1,5YR,2.5,1,,,,,,,,as,0,c,Y,
