pedon.x,orig_horizon,subdivision,horizon.x,top cm,base cm,thick,major_color,hue,value,chroma,minor_color,depletion,concentration,texture_modifier,texture_base,structure,consistence,boundary,frags,roots,sample collected,elemental,ID,pH,C_pct,N_pct,CNRatio,om_pct,om,bd,Ca_cmolKg,Na_cmolKg,Mg_cmolKg,K_cmolKg,Al_cmolKg,P_mgKg,Fe_mgKg,Mn_mgKg,CEC_cmolKg
42_4_V4.1,Oe,NA,Oe,3,8,5,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,NA,NA,NA,0,m,Y,NA,42_4_V4.1 Oe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42_4_V4.1,Oa,NA,Oa,8,16,8,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,NA,NA,as,0,c,Y,Y,42_4_V4.1 Oa,2.62,18.91962,0.90193,20.97674,32.61742,0.32617,0.29384,1.219,0.012,0.377,0.227,0.106,51.906,3.559,27.234,1.835
42_4_V4.1,E,NA,E,16,24,8,7.5YR5/2,7.5YR,5,2,5YR4/1,NA,NA,NA,ls,2msbk,fr,aw,2,f,Y,Y,42_4_V4.1 E,3.14,1.36966,0.07021,19.50917,2.36129,0.02361,1.12854,0.049,0.005,0.017,0.022,0.204,2.475,5.547,0.463,0.093
42_4_V4.1,Bhs1,NA,Bhs1,24,32.5,8.5,5YR3/1,5YR,3,1,0,NA,NA,NA,sl,2msbk,fr,cw,2,f,Y,Y,42_4_V4.1 Bhs1,3.26,2.83105,0.15402,18.38147,4.88073,0.04881,0.91266,0.071,0.007,0.035,0.035,1.243,3.591,73.668,0.611,0.148
42_4_V4.1,Bhs2,1,Bhs2.1,32.5,38,5.5,7.5YR3/3,7.5YR,3,3,0,NA,NA,NA,sl,2msbk,fr,cs,2,f,Y,Y,42_4_V4.1 Bhs2.1,3.49,4.5573,0.2211,20.61185,7.85679,0.07857,0.74444,0.066,0.01,0.043,0.039,1.886,3.398,78.132,1.422,0.158
42_4_V4.1,Bhs2,2,Bhs2.2,38,43,5,7.5YR3/3,7.5YR,3,3,0,NA,NA,NA,sl,2msbk,fr,cs,2,f,Y,Y,42_4_V4.1 Bhs2.2,3.68,4.78691,0.21508,22.25663,8.25264,0.08253,0.72663,0.061,0.009,0.03,0.033,1.87,2.617,62.309,1.943,0.133
42_4_V4.1,Bh,1,Bh.1,43,50,7,10YR3/2,10YR,3,2,10YR2/2,NA,NA,NA,sl,2msbk,fr,gs,2,f,Y,Y,42_4_V4.1 Bh.1,3.89,4.37279,0.18894,23.14413,7.53868,0.07539,0.7594,0.038,0.007,0.016,0.022,2.945,2.447,23.654,1.811,0.083
42_4_V4.1,Bh,2,Bh.2,50,56.5,6.5,10YR3/2,10YR,3,2,10YR2/2,NA,NA,NA,sl,2msbk,fr,gs,2,f,Y,Y,42_4_V4.1 Bh.2,4.05,3.75469,0.16861,22.26864,6.47309,0.06473,0.81422,0.021,0.004,0.008,0.013,2.682,2.038,9.404,0.676,0.046
42_4_V4.1,BC,NA,BC,56.5,66,9.5,10YR4/3,10YR,4,3,5YR3/2,NA,NA,NA,sl,2msbk,fr,gs,2,0,Y,Y,42_4_V4.1 BC,4.17,2.07819,0.08852,23.47568,3.58281,0.03583,1.01243,0.015,0.004,0.004,0.011,2.738,2.088,5.441,0.294,0.033
42_4_V4.1,Cd,NA,Cd,66,73.5,7.5,2.5Y5/2,2.5Y,5,2,5YR3/2,NA,NA,NA,ls,2mpl,fi,gs,10,0,Y,NA,42_4_V4.1 Cd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
